Country,Region,County,Climate Conditions,Temperature Range (°C),Light Intensity (hours/day),Relative Humidity (%),Annual Precipitation (mm),Wind Conditions,Soil Moisture,Soil Nutrients,Atmospheric Gases,Altitude (m),Topography,Frost,Heat Stress,Cold Stress,Day Length (hours),Air Quality,Other
Kenya,Nairobi,Nairobi Central,Temperate,10 - 25,5 - 7,60 - 80,800 - 1000,Mild to Moderate,Medium,Moderate,Typical urban levels,1795,Mostly flat with some hills,Rare,Mild,Mild,10 - 13,Moderate,Influenced by urbanization
Kenya,Nairobi,Kasarani,Temperate,10 - 25,5 - 7,60 - 80,800 - 1000,Mild to Moderate,Medium,Moderate,Typical urban levels,1795,Mostly flat with some hills,Rare,Mild,Mild,10 - 13,Moderate,Urban residential area
Kenya,Nairobi,Lang'ata,Temperate,10 - 25,5 - 7,60 - 80,800 - 1000,Mild to Moderate,Medium,Moderate,Typical urban levels,1795,Mostly flat with some hills,Rare,Mild,Mild,10 - 13,Moderate,Close to national park
Kenya,Nairobi,Dagoretti,Temperate,10 - 25,5 - 7,60 - 80,800 - 1000,Mild to Moderate,Medium,Moderate,Typical urban levels,1795,Mostly flat with some hills,Rare,Mild,Mild,10 - 13,Moderate,Urban residential area
Kenya,Coast,Mombasa,Tropical,25 - 35,6 - 8,70 - 90,1000 - 1200,Moderate,High,High,Marine influence,Sea level,Flat,Rare,High,Mild,11 - 13,Moderate,High humidity
Kenya,Coast,Kilifi,Tropical,25 - 35,6 - 8,70 - 90,800 - 1000,Moderate,High,High,Marine influence,Sea level,Varied terrain,Rare,High,Mild,11 - 13,Moderate,Beach tourism
Kenya,Coast,Lamu,Tropical,25 - 35,6 - 8,70 - 90,900 - 1200,Moderate,High,High,Marine influence,Sea level,Varied terrain,Rare,High,Mild,11 - 13,Moderate,Historic town
Kenya,Coast,Kwale,Tropical,25 - 35,6 - 8,70 - 90,800 - 1000,Moderate,High,High,Marine influence,Sea level,Varied terrain,Rare,High,Mild,11 - 13,Moderate,Coastal culture
Kenya,Nyanza,Kisumu,Tropical,20 - 30,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1130,Mixed urban and rural,Rare,Mild,Mild,11 - 13,Moderate,Lake influence
Kenya,Nyanza,Homa Bay,Tropical,20 - 30,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1191,Mixed urban and rural,Rare,Mild,Mild,11 - 13,Moderate,Lake influence
Kenya,Nyanza,Migori,Tropical,20 - 30,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1310,Mixed urban and rural,Rare,Mild,Mild,11 - 13,Moderate,Agricultural hub
Kenya,Nyanza,Kisii,Subtropical Highland,12 - 23,5 - 7,60 - 80,1200 - 1600,Variable,Medium,High,Varied,1700,Hilly terrain,Rare,Mild,Mild,10 - 13,Moderate,Agricultural hub
Kenya,Western,Kakamega,Tropical,20 - 28,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1496,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Agricultural hub
Kenya,Western,Vihiga,Tropical,20 - 28,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1510,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Agricultural hub
Kenya,Western,Bungoma,Tropical,20 - 28,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1300,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Agricultural hub
Kenya,Western,Busia,Tropical,20 - 28,5 - 7,60 - 80,1000 - 1500,Moderate,High,High,Varied,1200,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Agricultural hub
Kenya,Eastern,Embu,Subtropical,18 - 28,5 - 7,50 - 70,600 - 800,Moderate,Low,Medium,Varied,1410,Hilly terrain,Rare,Mild,Mild,11 - 13,Moderate,Agricultural hub
Kenya,Eastern,Meru,Subtropical Highland,10 - 25,5 - 7,50 - 70,800 - 1200,Variable,Medium,High,Varied,1650,Hilly terrain,Rare,Mild,Mild,10 - 13,Moderate,Agricultural hub
Kenya,Eastern,Machakos,Subtropical,18 - 28,5 - 7,50 - 70,600 - 800,Moderate,Low,Medium,Varied,1631,Rolling terrain,Rare,Mild,Mild,11 - 13,Moderate,Farming region
Kenya,Eastern,Tharaka Nithi,Subtropical Highland,10 - 25,5 - 7,50 - 70,800 - 1200,Variable,Medium,High,Varied,1400,Hilly terrain,Rare,Mild,Mild,10 - 13,Moderate,Agricultural hub
